AuthorID,Author,Date,Content,Attachments,Reactions
"418804878656274434","SvejKelej#4184","01-Apr-20 08:18 PM","@brian i would like to study some arabic please🇸🇦","",""
"516652903763542017","PeterC#0586","16-Apr-20 06:03 PM","Anybody know how to swipe note to delete? The android documentation makes it seem more difficult than it should be","",""
"686380068792303624","ReinaldoCoronel#0068","01-May-20 08:38 PM","Hello does the distribution code has an error where you can only add one note","",""
"686380068792303624","ReinaldoCoronel#0068","01-May-20 08:38 PM","And no more","",""
"686380068792303624","ReinaldoCoronel#0068","01-May-20 08:38 PM","Or is it my idea?","",""
"686380068792303624","ReinaldoCoronel#0068","01-May-20 08:38 PM","And i broke something","",""
"686380068792303624","ReinaldoCoronel#0068","01-May-20 09:07 PM","Forget about it trying to improve the layout i f up somethings","",""
