AuthorID,Author,Date,Content,Attachments,Reactions
"678377940030980120","ziller#6589","06-Mar-20 06:08 PM","quiet in here!","",""
"678377940030980120","ziller#6589","06-Mar-20 06:09 PM","50g and notes were a lot easier for me after the steep learning curve of pokedex","",""
"678377940030980120","ziller#6589","06-Mar-20 06:09 PM","both submitted now...","",""
"390411208865611776","kevinnnn#5791","30-Apr-20 12:45 PM","a","",""
"372867715993567233","King of Random#7545","08-May-20 01:14 PM","k","",""
